P_1,P_2,P_3,P_4,P_5,P_6,P_7
521.664981095778+0i,521.654286955467+0i,-10+0i,522.659313058522+0i,-5.99716598137217+22.4645903199199i,-5.99716598137217-22.4645903199199i,-0.942809041582063+0i
521.976080593887+0i,521.884584930574+0i,-10+0i,522.970416173148+0i,-5.99716778963091+22.4697188659295i,-5.99716778963091-22.4697188659295i,-0.942809041582063+0i
522.443584071938+0i,522.24854299833+0i,-10+0i,523.437925013985+0i,-5.99717047102325+22.4778205147131i,-5.99717047102325-22.4778205147131i,-0.942809041582063+0i
522.482317508248+0i,522.75385857229+0i,-10+0i,523.476657211852+0i,-5.99716985180227+22.4890385687839i,-5.99716985180227-22.4890385687839i,-0.942809041582063+0i
522.488883771742+0i,522.920701856067+0i,-10+0i,523.483222978034+0i,-5.99716960314572+22.4927410189934i,-5.99716960314572-22.4927410189934i,-0.942809041582063+0i
522.681335909071+0i,523.231851429722+0i,-10+0i,523.675676750564+0i,-5.99717042074636+22.4996516597705i,-5.99717042074636-22.4996516597705i,-0.942809041582063+0i
522.68473363982+0i,523.561631621877+0i,-10+0i,523.679073362918+0i,-5.99716986154923+22.5069654415696i,-5.99716986154923-22.5069654415696i,-0.942809041582063+0i
522.891371942645+0i,523.675108385045+0i,-10+0i,523.885714201229+0i,-5.99717112929179+22.5094900882124i,-5.99717112929179-22.5094900882124i,-0.942809041582063+0i
523.034673273371+0i,523.700544878828+0i,-10+0i,524.029017477143+0i,-5.99717210188628+22.5100599902429i,-5.99717210188628-22.5100599902429i,-0.942809041582063+0i
523.141880795258+0i,523.790234038909+0i,-10+0i,524.136226203896+0i,-5.99717270431913+22.5120528233226i,-5.99717270431913-22.5120528233226i,-0.942809041582063+0i
523.475192815314+0i,524.257834597405+0i,-10+0i,524.469541300867+0i,-5.9971742427766+22.5224303825375i,-5.9971742427766-22.5224303825375i,-0.942809041582063+0i
523.498515518179+0i,524.568204535167+0i,-10+0i,524.492863239643+0i,-5.99717386073243+22.5293076485757i,-5.99717386073243-22.5293076485757i,-0.942809041582063+0i
523.926305183077+0i,524.884160855877+0i,-10+0i,524.920657850804+0i,-5.99717633386359+22.5363232919082i,-5.99717633386359-22.5363232919082i,-0.942809041582063+0i
524.319521921969+0i,525.38687263878+0i,-10+0i,525.313878382199+0i,-5.99717823011459+22.5474693407699i,-5.99717823011459-22.5474693407699i,-0.942809041582063+0i
524.412524260803+0i,525.393014845056+0i,-10+0i,525.406882013615+0i,-5.99717887640598+22.5476091393427i,-5.99717887640598-22.5476091393427i,-0.942809041582063+0i
524.433862739132+0i,525.512729646942+0i,-10+0i,525.428220372638+0i,-5.99717881675308+22.5502596194224i,-5.99717881675308-22.5502596194224i,-0.942809041582063+0i
524.841522562601+0i,525.652094162733+0i,-10+0i,525.835885460831+0i,-5.9971814491152+22.5533605745893i,-5.9971814491152-22.5533605745893i,-0.942809041582063+0i
524.848179190038+0i,525.956090380722+0i,-10+0i,525.842541115372+0i,-5.99718096266709+22.5600867568475i,-5.99718096266709-22.5600867568475i,-0.942809041582063+0i
524.882321429935+0i,526.13507665644+0i,-10+0i,525.876683208835+0i,-5.99718088944983+22.5640472958866i,-5.99718088944983-22.5640472958866i,-0.942809041582063+0i
525.059975618607+0i,526.629097221033+0i,-10+0i,526.054338170271+0i,-5.99718127583155+22.5749786363569i,-5.99718127583155-22.5749786363569i,-0.942809041582063+0i
525.321830630592+0i,527.084575139674+0i,-10+0i,526.316195276884+0i,-5.99718232314597+22.5850565010464i,-5.99718232314597-22.5850565010464i,-0.942809041582063+0i
525.380934987604+0i,527.12252018063+0i,-10+0i,526.375300333647+0i,-5.99718267302214+22.585897406376i,-5.99718267302214-22.585897406376i,-0.942809041582063+0i
525.848089761202+0i,527.266330900702+0i,-10+0i,526.842461177722+0i,-5.99718570825991+22.5890941541697i,-5.99718570825991-22.5890941541697i,-0.942809041582063+0i
526.23835093356+0i,527.27095834702+0i,-10+0i,527.232727814943+0i,-5.99718844069154+22.5892124600047i,-5.99718844069154-22.5892124600047i,-0.942809041582063+0i
526.44901376394+0i,527.306647856389+0i,-10+0i,527.443393475341+0i,-5.99718985570068+22.590009609053i,-5.99718985570068-22.590009609053i,-0.942809041582063+0i
526.742838471058+0i,527.825287634577+0i,-10+0i,527.737220491446+0i,-5.99719101019393+22.6014768305344i,-5.99719101019393-22.6014768305344i,-0.942809041582063+0i
526.867338851204+0i,528.279815227517+0i,-10+0i,527.861721031819+0i,-5.99719109030697+22.6115162828957i,-5.99719109030697-22.6115162828957i,-0.942809041582063+0i
527.10182854863+0i,528.7934584051+0i,-10+0i,528.096212223837+0i,-5.9971918376034+22.6228599589144i,-5.9971918376034-22.6228599589144i,-0.942809041582063+0i
