P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11
-29.3870594624+0i,-30.5174606597107+0i,-29.1273330602885+0i,-0.00392812604087989+5.29859959766079i,-0.00392812604087989-5.29859959766079i,-22.2246291599931+0i,0.00532076948942917+5.29835488400427i,0.00532076948942917-5.29835488400427i,-22.5945499927141+0i,0+0i,1+0i
-29.3629527323005+0i,-30.3388821444021+0i,-29.119140362651+0i,0.00120293542373973+5.32414734488784i,0.00120293542373973-5.32414734488784i,-28.9584934546233+0i,-0.00725489217098108+5.32749217185143i,-0.00725489217098108-5.32749217185143i,-29.5055555897581+0i,0+0i,0+0i
-29.2646318673023+0i,-30.0957860436867+0i,-28.9494323133155+0i,0.00548963146413139+5.30811007476026i,0.00548963146413139-5.30811007476026i,-27.1787378270086+0i,-0.00522983983270375+5.31254799907709i,-0.00522983983270375-5.31254799907709i,-27.8062885982755+0i,0+0i,0+0i
-29.0945977641638+0i,-30.0727932679127+0i,-28.8881035259583+0i,-0.00536850043638271+5.30186458292294i,-0.00536850043638271-5.30186458292294i,-29.226424754125+0i,0.00150979463371637+5.30069049729343i,0.00150979463371637-5.30069049729343i,-29.2621693566713+0i,0+0i,1+0i
-28.9562343121549+0i,-29.8524198958841+0i,-28.6416150777479+0i,-0.000635617271674382+5.23796718668493i,-0.000635617271674382-5.23796718668493i,-19.0267673650148+0i,0.00841811279311055+5.23732129884129i,0.00841811279311055-5.23732129884129i,-19.2867729117021+0i,0+0i,1+0i
-28.813962307293+0i,-29.7723235013004+0i,-28.3814325298249+0i,-0.00836186692664254+5.2611114527911i,-0.00836186692664254-5.2611114527911i,-24.9710193347234+0i,0.00281901423059694+5.25901510694658i,0.00281901423059694-5.25901510694658i,-25.0506214927107+0i,0+0i,1+0i
-28.7648967943514+0i,-29.6475370376812+0i,-28.2849014517903+0i,-0.000884579301165922+5.26386584738334i,-0.000884579301165922-5.26386584738334i,-27.1755360974946+0i,0.00688642070533063+5.26238497080995i,0.00688642070533063-5.26238497080995i,-27.1985898039897+0i,0+0i,1+0i
-28.6307604808685+0i,-29.4867219495266+0i,-28.2655859240654+0i,-0.0138182420257541+5.23180296442246i,-0.0138182420257541-5.23180296442246i,-22.115781661408+0i,0.00361699839701146+5.22782376810231i,0.00361699839701146-5.22782376810231i,-22.1726443283451+0i,0+0i,1+0i
-28.5077166542394+0i,-29.2980616199788+0i,-28.0306935397372+0i,-0.0807371810928716+4.38478764613422i,-0.0807371810928716-4.38478764613422i,-2.57734505295151+0i,0.0266855475369405+4.46541767737522i,0.0266855475369405-4.46541767737522i,-3.50519799165398+0i,0+0i,1+0i
-28.4550532097362+0i,-29.1072117288751+0i,-27.9738912615266+0i,-0.00194637553432164+5.24045207873914i,-0.00194637553432164-5.24045207873914i,-28.5523908187856+0i,6.09490065427432e-05+5.24019288905851i,6.09490065427432e-05-5.24019288905851i,-28.5891257709656+0i,0+0i,1+0i
-28.4091348458766+0i,-28.9516825344855+0i,-27.8868143630929+0i,2.07218780662582e-06+5.33043096644821i,2.07218780662582e-06-5.33043096644821i,6516.71734497991+0i,-1.08635028607616e-06+5.33043096387376i,-1.08635028607616e-06-5.33043096387376i,6516.71721062999+0i,0+0i,0+0i
-28.3917508645467+0i,-28.8471657070032+0i,-27.7202284423892+0i,0.00253197470578037+5.22771472393895i,0.00253197470578037-5.22771472393895i,-26.8508184769719+0i,-0.000191840936952459+5.22929868797825i,-0.000191840936952459-5.22929868797825i,-27.1279254799026+0i,0+0i,0+0i
-28.2302689169969+0i,-28.8165173106152+0i,-27.4843753833954+0i,-0.00251911680432115+5.03766513090558i,-0.00251911680432115-5.03766513090558i,-9.84787571087892+0i,0.00379895564585087+5.0458905954357i,0.00379895564585087-5.0458905954357i,-10.2716750645461+0i,0+0i,1+0i
-28.0305193225097+0i,-28.6656868157693+0i,-27.2619267197256+0i,-0.00331929128621256+5.19674066111829i,-0.00331929128621256-5.19674066111829i,-27.1813525851651+0i,0.0028281475513019+5.19579491164866i,0.0028281475513019-5.19579491164866i,-27.2561828298544+0i,0+0i,1+0i
-27.8572748846642+0i,-28.5960323896576+0i,-27.228079482811+0i,-0.000293333668852314+5.17714859279577i,-0.000293333668852314-5.17714859279577i,-26.4043442584965+0i,0.00388759015835805+5.17829781590135i,0.00388759015835805-5.17829781590135i,-26.9295914541013+0i,0+0i,1+0i
-27.600932400718+0i,-28.4065400580301+0i,-27.1585198386957+0i,-0.00289874977765892+5.15858029141545i,-0.00289874977765892-5.15858029141545i,-27.7188424463811+0i,0.0013673223494769+5.15798470200414i,0.0013673223494769-5.15798470200414i,-27.7840927009104+0i,0+0i,1+0i
-27.4304714595356+0i,-28.3166283165647+0i,-26.9446788467438+0i,-0.0671502942683+4.40273316745934i,-0.0671502942683-4.40273316745934i,-2.95285122631954+0i,0.0308092392170946+4.46312619248433i,0.0308092392170946-4.46312619248433i,-3.87757540591411+0i,0+0i,1+0i
-27.2504169815789+0i,-28.2434236757317+0i,-26.7455650075327+0i,-0.00178105984595039+4.70881980778823i,-0.00178105984595039-4.70881980778823i,-5.34785288203294+0i,0.021488752943805+4.73399633593792i,0.021488752943805-4.73399633593792i,-5.87315523232787+0i,0+0i,1+0i
-27.0093046591484+0i,-28.032944453624+0i,-26.6565427664479+0i,-0.00218098980709025+5.09915290860476i,-0.00218098980709025-5.09915290860476i,-26.6796669508663+0i,0.00893557945584778+5.09753262667401i,0.00893557945584778-5.09753262667401i,-26.8375338895677+0i,0+0i,1+0i
-26.8111334725483+0i,-27.9588038566841+0i,-26.6501342061161+0i,-0.0108093795986661+4.65732164600027i,-0.0108093795986661-4.65732164600027i,-5.12296987238113+0i,0.0251624076837954+4.64846669235051i,0.0251624076837954-4.64846669235051i,-5.41311104600652+0i,0+0i,1+0i
-26.5831426650204+0i,-27.8098094850862+0i,-26.5794714960102+0i,-0.00263496340919001+5.05073932820504i,-0.00263496340919001-5.05073932820504i,-24.6401797496612+0i,0.00285296555007564+5.05027606221842i,0.00285296555007564-5.05027606221842i,-24.8039318826928+0i,0+0i,1+0i
-26.5016051440196+0i,-27.613939735235+0i,-26.3214496530843+0i,-0.00186638610035528+5.04520397755459i,-0.00186638610035528-5.04520397755459i,-25.2049782937401+0i,0.00185954284973577+5.04469931185299i,0.00185954284973577-5.04469931185299i,-25.2706636466082+0i,0+0i,1+0i
-26.3979453331154+0i,-27.530639832604+0i,-26.2384257087282+0i,-0.00512257429761875+5.02604822759072i,-0.00512257429761875-5.02604822759072i,-22.9842124893437+0i,0.00183084396636868+5.02457281516392i,0.00183084396636868-5.02457281516392i,-23.0065788134836+0i,0+0i,1+0i
-26.3728166911811+0i,-27.3879843848749+0i,-26.238367454673+0i,0.00553105138448839+5.68748543001094i,0.00553105138448839-5.68748543001094i,4.46290789209318+0i,-0.0298742050715433+5.6465891388199i,-0.0298742050715433-5.6465891388199i,4.49870860349208+0i,0+0i,0+0i
-26.3508760687765+0i,-27.2771168071746+0i,-26.0175075390114+0i,5.91952996216172e-05+5.03623894247787i,5.91952996216172e-05-5.03623894247787i,-26.696420619667+0i,-0.000278363634683254+5.03671383700957i,-0.000278363634683254-5.03671383700957i,-26.808307747473+0i,0+0i,0+0i
-26.1423310420338+0i,-27.0763738104585+0i,-25.9759526653961+0i,-0.00549285602560845+4.81675374077564i,-0.00549285602560845-4.81675374077564i,-8.79072391799326+0i,0.00170279604260802+4.82227803965096i,0.00170279604260802-4.82227803965096i,-9.08299875355913+0i,0+0i,1+0i
-26.0967744379336+0i,-27.0602904912818+0i,-25.9019601768632+0i,-0.0132216799630265+4.8954919401101i,-0.0132216799630265-4.8954919401101i,-11.9237776356899+0i,0.00623705450219714+4.88989521301702i,0.00623705450219714-4.88989521301702i,-12.0889362036511+0i,0+0i,1+0i
-25.9906497156254+0i,-26.936574262626+0i,-25.825126897418+0i,0.00443433117213365+4.99312075814385i,0.00443433117213365-4.99312075814385i,-24.7515264900828+0i,-0.00328731545888294+4.99806570526337i,-0.00328731545888294-4.99806570526337i,-25.564683433845+0i,0+0i,0+0i
-25.904154006127+0i,-26.7933586405553+0i,-25.7435328764219+0i,-0.00557403347140828+4.98890349821966i,-0.00557403347140828-4.98890349821966i,-25.2376951543217+0i,0.0102900238636054+4.98578569039517i,0.0102900238636054-4.98578569039517i,-25.2748914283404+0i,0+0i,1+0i
-25.762080188792+0i,-26.5545700571853+0i,-25.5802843544632+0i,-0.00335644187615436+4.97125709491846i,-0.00335644187615436-4.97125709491846i,-24.4014780105689+0i,0.00590019216327786+4.96991684230156i,0.00590019216327786-4.96991684230156i,-24.5449820600466+0i,0+0i,1+0i
-25.5271840391133+0i,-26.3426628973977+0i,-25.2588327877184+0i,-0.00321007170132903+4.93880701263667i,-0.00321007170132903-4.93880701263667i,-22.3394496941332+0i,0.00213658953932183+4.93909012500777i,0.00213658953932183-4.93909012500777i,-22.6355163561169+0i,0+0i,1+0i
-25.3148861706383+0i,-26.0363071559578+0i,-24.9992576095703+0i,0.00475389611266652+4.92891966683145i,0.00475389611266652-4.92891966683145i,-25.0394004035648+0i,-0.00507087651512439+4.93301655849926i,-0.00507087651512439-4.93301655849926i,-25.5641114289551+0i,0+0i,0+0i
-24.8659782279762+0i,-25.8815143010328+0i,-24.7939800653393+0i,-0.00591925737517385+4.84930696624894i,-0.00591925737517385-4.84930696624894i,-18.198960479907+0i,0.00640418794312303+4.84729473438143i,0.00640418794312303-4.84729473438143i,-18.387241557682+0i,0+0i,1+0i
-24.8162380511304+0i,-25.7602641701974+0i,-24.7631374044576+0i,0.00132024560500474+4.99313301858044i,0.00132024560500474-4.99313301858044i,216.098157429313+0i,-0.000365335919664922+4.99310014985102i,-0.000365335919664922-4.99310014985102i,215.990321046857+0i,0+0i,0+0i
-24.7030878227643+0i,-25.4996349249502+0i,-24.4637402657633+0i,0.00596319346755547+4.86658376352902i,0.00596319346755547-4.86658376352902i,-24.521625529424+0i,-0.00307029881463661+4.87061955828506i,-0.00307029881463661-4.87061955828506i,-25.0487767735285+0i,0+0i,0+0i
-24.5797547483496+0i,-25.4612791016143+0i,-24.2495954033962+0i,-0.00696325280384685+4.36323577182349i,-0.00696325280384685-4.36323577182349i,-4.37350596984976+0i,0.0198961958964567+4.34624871764628i,0.0198961958964567-4.34624871764628i,-4.49212188173776+0i,0+0i,1+0i
-24.3333616860288+0i,-25.2297499842355+0i,-24.0155219377955+0i,-0.000994403256327936+4.82887379449236i,-0.000994403256327936-4.82887379449236i,-23.9180978230953+0i,0.000233386353902243+4.82997170656685i,0.000233386353902243-4.82997170656685i,-24.2299921471512+0i,0+0i,1+0i
-24.1028894934883+0i,-25.0724146019046+0i,-23.7922666339531+0i,-0.00480248728911803+4.80918358783547i,-0.00480248728911803-4.80918358783547i,-24.4930234058215+0i,0.0052370037641446+4.80777630574136i,0.0052370037641446-4.80777630574136i,-24.6474386254386+0i,0+0i,1+0i
-24.073313513056+0i,-24.919115638888+0i,-23.6706987886598+0i,-0.00302695055732216+4.79780237239897i,-0.00302695055732216-4.79780237239897i,-22.6931429214456+0i,0.000123721159507872+4.79838297845352i,0.000123721159507872-4.79838297845352i,-22.9581264675553+0i,0+0i,1+0i
-23.8293230648051+0i,-24.6563567024612+0i,-23.530871247071+0i,0.00691111103975078+4.70888022935897i,0.00691111103975078-4.70888022935897i,-14.5910322348937+0i,-0.00450340531085197+4.7182325765498i,-0.00450340531085197-4.7182325765498i,-15.0643887599647+0i,0+0i,0+0i
-23.8062395124423+0i,-24.5101547131231+0i,-23.3052419753769+0i,0.000320921033555077+4.77619783230337i,0.000320921033555077-4.77619783230337i,-23.9611246302635+0i,-7.67151843780178e-05+4.77774985637888i,-7.67151843780178e-05-4.77774985637888i,-24.3045781306706+0i,0+0i,0+0i
-23.5726166353496+0i,-24.2826470203107+0i,-23.2749577144657+0i,-0.000628405638148699+4.7509151690083i,-0.000628405638148699-4.7509151690083i,-23.5095762067585+0i,0.00632170337627724+4.74960263612736i,0.00632170337627724-4.74960263612736i,-23.5445284785541+0i,0+0i,1+0i
-21.285918688066+0i,-22.2503185014175+0i,-21.266155972976+0i,-0.00551833021380477+4.5035471237315i,-0.00551833021380477-4.5035471237315i,-20.968136791398+0i,0.00238672651554106+4.50237652591634i,0.00238672651554106-4.50237652591634i,-21.0814526221722+0i,0+0i,1+0i
-20.8654912649077+0i,-21.8497792903373+0i,-20.67829788245+0i,-0.00615790942568262+4.44837598775707i,-0.00615790942568262-4.44837598775707i,-19.1279294354228+0i,6.94840488070225e-05+4.44800227547235i,6.94840488070225e-05-4.44800227547235i,-19.3088709825149+0i,0+0i,1+0i
-20.7895751237898+0i,-21.7026665755627+0i,-20.4868826330784+0i,-0.00307264268126506+4.42646146395195i,-0.00307264268126506-4.42646146395195i,-17.2757006209972+0i,0.0132256894005459+4.42303095622241i,0.0132256894005459-4.42303095622241i,-17.4029798592293+0i,0+0i,1+0i
-20.6789182791824+0i,-21.4819006361599+0i,-20.3323696752319+0i,-0.00430083395615566+4.4350568426804i,-0.00430083395615566-4.4350568426804i,-20.3147469934851+0i,0.00462270053713532+4.43449389560478i,0.00462270053713532-4.43449389560478i,-20.5786924315423+0i,0+0i,1+0i
-20.5397175672179+0i,-21.260753058276+0i,-20.1644747719382+0i,-0.00382191943689092+4.40267437286872i,-0.00382191943689092-4.40267437286872i,-17.6296463184331+0i,0.00196457016403873+4.40301856849894i,0.00196457016403873-4.40301856849894i,-17.8819567999041+0i,0+0i,1+0i
-20.2992202482259+0i,-21.1258734825127+0i,-20.1476894090315+0i,0.00188132671027008+4.38936875087892i,0.00188132671027008-4.38936875087892i,-19.7312041431032+0i,-0.0127326357709519+4.39660103268527i,-0.0127326357709519-4.39660103268527i,-20.4160609166176+0i,0+0i,0+0i
-18.5173463530797+0i,-20.0074944232484+0i,-19.034802210778+0i,-0.00118080729966469+4.02868535506309i,-0.00118080729966469-4.02868535506309i,-8.07752440923401+0i,0.00413947017420424+4.02912452530705i,0.00413947017420424-4.02912452530705i,-8.17638485854705+0i,0+0i,1+0i
-18.293177593233+0i,-19.9158382282549+0i,-18.8037173475144+0i,-0.0273435669608003+3.99973803690295i,-0.0273435669608003-3.99973803690295i,-7.53653672522494+0i,0.00992889875591463+3.98368654399851i,0.00992889875591463-3.98368654399851i,-7.69870909920241+0i,0+0i,1+0i
-18.1172075821272+0i,-19.8371438028132+0i,-18.7232864889357+0i,0.0036219227758959+4.14487128593205i,0.0036219227758959-4.14487128593205i,-19.4704816677009+0i,-0.000199423854061243+4.14667631902312i,-0.000199423854061243-4.14667631902312i,-19.6360343197579+0i,0+0i,0+0i
-18.0773823762572+0i,-19.6626765108326+0i,-18.4662302291027+0i,-0.00464284935997084+4.13021636260156i,-0.00464284935997084-4.13021636260156i,-17.5812163268349+0i,0.000104931458169366+4.12938738365266i,0.000104931458169366-4.12938738365266i,-17.6308455480633+0i,0+0i,1+0i
-18.0480447701553+0i,-19.4992497959196+0i,-18.3720494425127+0i,-0.00575427076434876+3.8772020596577i,-0.00575427076434876-3.8772020596577i,-5.91657358697899+0i,0.00242520322762185+3.87887672917614i,0.00242520322762185-3.87887672917614i,-6.04045487779922+0i,0+0i,1+0i
-17.8116419745004+0i,-19.3284124453147+0i,-18.1998892571005+0i,-0.00699935548451047+4.06306838360514i,-0.00699935548451047-4.06306838360514i,-13.4776527307961+0i,0.00504396393727546+4.06011537124909i,0.00504396393727546-4.06011537124909i,-13.5570791002706+0i,0+0i,1+0i
-17.5805668457396+0i,-19.2990143160219+0i,-18.1197398596887+0i,-0.00463476544749641+4.07822354237543i,-0.00463476544749641-4.07822354237543i,-18.3606405659083+0i,0.0111545130277881+4.07583503497864i,0.0111545130277881-4.07583503497864i,-18.5666987646077+0i,0+0i,1+0i
-17.3190946223209+0i,-19.2217741233738+0i,-17.8787773971343+0i,-0.00989743333666249+4.04790491670693i,-0.00989743333666249-4.04790491670693i,-18.1863399881241+0i,0.00315100593980111+4.04694506519479i,0.00315100593980111-4.04694506519479i,-18.5146747132734+0i,0+0i,1+0i
-17.0598354205552+0i,-19.063121670374+0i,-17.7652237902834+0i,-0.00681968455189153+3.46598559750396i,-0.00681968455189153-3.46598559750396i,-3.33426612043761+0i,0.0230703975733659+3.49033341622284i,0.0230703975733659-3.49033341622284i,-3.65951286178226+0i,0+0i,1+0i
-16.8990084100992+0i,-18.9289486051114+0i,-17.5475810637213+0i,-0.00339175523416368+3.99833678864593i,-0.00339175523416368-3.99833678864593i,-18.3978701361514+0i,0.00360598496868925+3.99684611005578i,0.00360598496868925-3.99684611005578i,-18.4165529251448+0i,0+0i,1+0i
-16.7880051720146+0i,-18.8572854793936+0i,-17.2858400909539+0i,-0.0177199937879856+3.97530684349853i,-0.0177199937879856-3.97530684349853i,-16.4458661409936+0i,0.00192151664391182+3.97092838865499i,0.00192151664391182-3.97092838865499i,-16.5264678475752+0i,0+0i,1+0i
-16.5851131909427+0i,-18.7390204620935+0i,-17.1674206770494+0i,-0.00633330983557856+3.88985316500816i,-0.00633330983557856-3.88985316500816i,-11.2611663957365+0i,0.0108264196706169+3.88467877541438i,0.0108264196706169-3.88467877541438i,-11.3394931076303+0i,0+0i,1+0i
-16.5267948420267+0i,-18.7163857053322+0i,-17.1542541208031+0i,-0.00758252596550901+3.57711517924978i,-0.00758252596550901-3.57711517924978i,-4.36243190786085+0i,0.0102095060935704+3.56778595523971i,0.0102095060935704-3.56778595523971i,-4.44077374549239+0i,0+0i,1+0i
-16.2950227251068+0i,-18.6174665964508+0i,-17.0827549412804+0i,-0.00705598438892385+3.88691643058172i,-0.00705598438892385-3.88691643058172i,-13.5358462703434+0i,0.00747827976169191+3.88603013493972i,0.00747827976169191-3.88603013493972i,-13.8545976810825+0i,0+0i,1+0i
-16.2654523424316+0i,-18.3760422988455+0i,-17.0077557700839+0i,-0.00788561182707148+3.91542443938063i,-0.00788561182707148-3.91542443938063i,-17.1247470473398+0i,0.00700046978657543+3.91211205688177i,0.00700046978657543-3.91211205688177i,-17.1664059331433+0i,0+0i,1+0i
-16.2087071650308+0i,-18.281929857642+0i,-16.8816690347492+0i,-0.00073197452920859+3.90208724461701i,-0.00073197452920859-3.90208724461701i,-16.474572353705+0i,0.00180927562524769+3.90176221500074i,0.00180927562524769-3.90176221500074i,-16.5158314782475+0i,0+0i,1+0i
-16.129356827665+0i,-18.1207051389577+0i,-16.6990551014281+0i,-0.00593000170670732+3.89759655573791i,-0.00593000170670732-3.89759655573791i,-16.9904013095993+0i,0.0116501277205994+3.89534605291157i,0.0116501277205994-3.89534605291157i,-17.2738576498735+0i,0+0i,1+0i
-16.0162573816064+0i,-18.0877866954234+0i,-16.689845941428+0i,0.00233418210075764+3.8837669301494i,0.00233418210075764-3.8837669301494i,-17.2538250861694+0i,-0.00514542012489594+3.88798605509449i,-0.00514542012489594-3.88798605509449i,-17.6167133811161+0i,0+0i,0+0i
-15.7670022730027+0i,-18.0573800508329+0i,-16.6320237276506+0i,-0.0183151102308373+3.31421267957233i,-0.0183151102308373-3.31421267957233i,-3.17594181260774+0i,0.00353267099766282+3.43925845676394i,0.00353267099766282-3.43925845676394i,-4.03159516960095+0i,0+0i,1+0i
-15.7492042321207+0i,-17.8006446991805+0i,-16.5240352085094+0i,-0.00164840395284727+3.8504600789456i,-0.00164840395284727-3.8504600789456i,-17.0038826590542+0i,0.00341795214694407+3.84993074615071i,0.00341795214694407-3.84993074615071i,-17.1014053883712+0i,0+0i,1+0i
-15.5397792578724+0i,-17.7992812099069+0i,-16.2793162414539+0i,0.00326684894341667+3.81604780710242i,0.00326684894341667-3.81604780710242i,-16.0005605548385+0i,-0.00205255482124345+3.82005796491088i,-0.00205255482124345-3.82005796491088i,-16.3432893400087+0i,0+0i,0+0i
-15.2931611929723+0i,-17.7497423223736+0i,-16.2742527189192+0i,-0.00313458319802173+3.77634657612757i,-0.00313458319802173-3.77634657612757i,-14.7209468315103+0i,0.0130413741693227+3.77269207989176i,0.0130413741693227-3.77269207989176i,-14.8068147719008+0i,0+0i,1+0i
-15.2214071282438+0i,-17.6080444672235+0i,-16.1695341390651+0i,-0.013482711714553+3.30512064352437i,-0.013482711714553-3.30512064352437i,-3.4464898604023+0i,0.0064709609290704+3.39215405278711i,0.0064709609290704-3.39215405278711i,-4.15069412105438+0i,0+0i,1+0i
-15.2132686307031+0i,-17.424181477329+0i,-16.1417349741193+0i,-0.00256931612081035+3.78428554805059i,-0.00256931612081035-3.78428554805059i,-16.9591342799716+0i,0.000776561754114558+3.78459461381387i,0.000776561754114558-3.78459461381387i,-17.1179614857673+0i,0+0i,1+0i
-15.1987759528486+0i,-17.2597135912266+0i,-16.0112333477009+0i,-0.00605629023367948+3.76987732280571i,-0.00605629023367948-3.76987732280571i,-15.2160758045965+0i,0.00769778531227572+3.76651847389255i,0.00769778531227572-3.76651847389255i,-15.2489395036854+0i,0+0i,1+0i
-15.1464041309751+0i,-17.1705089738861+0i,-15.8028345797903+0i,-0.00022101762792337+3.77389953387247i,-0.00022101762792337-3.77389953387247i,-16.7458652709754+0i,0.00612363533440896+3.77262653528689i,0.00612363533440896-3.77262653528689i,-16.7808365430459+0i,0+0i,1+0i
-15.0982769344465+0i,-17.0392423238474+0i,-15.7523214994446+0i,-0.00389485302138359+3.7452002512932i,-0.00389485302138359-3.7452002512932i,-13.9779330189944+0i,0.0100126852568696+3.74325252740497i,0.0100126852568696-3.74325252740497i,-14.1779581582906+0i,0+0i,1+0i
-15.0713124629582+0i,-16.8338632026008+0i,-15.6461459614565+0i,-0.0274784452027175+3.2547537449579i,-0.0274784452027175-3.2547537449579i,-3.18128413363085+0i,0.0118395802003546+3.26073098975251i,0.0118395802003546-3.26073098975251i,-3.47575215761967+0i,0+0i,1+0i
-15.0649788966248+0i,-16.6763939110293+0i,-15.4860762867887+0i,-0.00580324184019609+3.75890315240742i,-0.00580324184019609-3.75890315240742i,-15.9151879600355+0i,0.00239932766351714+3.75714738237624i,0.00239932766351714-3.75714738237624i,-15.9538409747409+0i,0+0i,1+0i
-14.8262097594897+0i,-16.4591067088435+0i,-15.4457688255891+0i,-0.0109154186478461+3.72792632986125i,-0.0109154186478461-3.72792632986125i,-15.6167007688268+0i,0.00399545237273446+3.72583639312855i,0.00399545237273446-3.72583639312855i,-15.8255846206621+0i,0+0i,1+0i
-14.645197913909+0i,-16.2972717833825+0i,-15.1963509238276+0i,-0.00887233592653491+3.69510667313273i,-0.00887233592653491-3.69510667313273i,-14.5114884536705+0i,0.00343318696702732+3.69364982920869i,0.00343318696702732-3.69364982920869i,-14.7143118587858+0i,0+0i,1+0i
-14.3819794457556+0i,-16.1126477859725+0i,-15.0928925148673+0i,-0.015810788335352+3.67478138812539i,-0.015810788335352-3.67478138812539i,-15.8676320348603+0i,0.000879506285228704+3.67193859724901i,0.000879506285228704-3.67193859724901i,-16.0286453691031+0i,0+0i,1+0i
